MAC,Vendor,Country
BC-D7-67,BAE Systems Apllied Intelligence,GB
EC-1D-9E,Quectel Wireless Solutions Co._Ltd.,CN
80-64-6F,Espressif Inc.,CN
80-39-8C,Samsung Electronics Co._Ltd,KR
98-0D-6F,Samsung Electronics Co._Ltd,KR
1C-90-FF,Tuya Smart Inc.,US
10-82-3D,Ruijie Networks Co._LTD,CN
50-5F-B5,ASKEY COMPUTER CORP,TW
88-DE-7C,ASKEY COMPUTER CORP,TW
04-57-47,GoPro,US
80-56-3C,ZF,DE
90-98-77,Vestel Elektronik San ve Tic. A.S.,TR
3C-A7-AE,zte corporation,CN
AC-31-84,Huawei Device Co._ Ltd.,CN
